Feature ID	Taxon	Consensus
8d564a6acbeb9b92a6738e1bf561df26	d__Eukaryota; p__Nematozoa; c__Chromadorea; o__Monhysterida; f__Monhysterida; g__Monhysterida	1.0
8ee992731d3956775fecc10c5976321f	d__Eukaryota; p__Ciliophora; c__Intramacronucleata; o__Spirotrichea; f__Hypotrichia; g__Hypotrichia	0.8
8f546b191eef3de1bba7f12923c16832	d__Eukaryota; p__Ciliophora; c__Intramacronucleata; o__Conthreep; f__Colpodea	1.0
9108065cba496b161bfbcd75f28c91cc	d__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Microascales; f__Halosphaeriaceae	0.8
941edad0ea9b11619970d2a4616f1875	d__Eukaryota; p__Apicomplexa; c__Aconoidasida; o__Piroplasmorida; f__Piroplasmorida; g__uncultured; s__uncultured_alveolate	1.0
9463a25bf48a88d4eac3a1acdfb3451c	d__Eukaryota; p__Breviatea; c__Breviatea; o__Breviatea; f__Breviatea; g__Breviata	0.6666666666666666
9561c5e9d53eaa58c12fb6219ed65854	d__Eukaryota; p__Ciliophora; c__Intramacronucleata; o__Conthreep; f__Colpodea	1.0
9652c261670b0f0a44d4da6b8df6a0d1	d__Eukaryota; p__Ascomycota; c__Sordariomycetes	1.0
96c1f8ccec5d96ca8ecb51739c3723f8	d__Eukaryota; p__Ciliophora; c__Intramacronucleata; o__Spirotrichea; f__Hypotrichia	0.7
9715a02561a0e477b75f6b90cadb04cd	d__Eukaryota; p__Basidiomycota; c__Agaricomycetes; o__Agaricales	1.0
9a25baf276ce53eaf20f4209b3d5aba7	d__Eukaryota; p__Holozoa; c__Choanoflagellida; o__Codonosigidae; f__Codonosigidae; g__Codosiga; s__Codosiga_sp.	1.0
9bb789b58b35c6ba1c7e233019befecd	d__Eukaryota; p__Ciliophora; c__Intramacronucleata; o__Spirotrichea; f__Hypotrichia	0.7
9bcba15020e31b2364960f20da8b482b	d__Eukaryota; p__Basidiomycota; c__Tremellomycetes; o__Filobasidiales; f__Filobasidiaceae; g__Filobasidium	0.6
9c82e1972fff4cf67e7f8c7cf197f4b1	d__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Fusarium	0.9
a0b6e570232c317628242905efb585b1	d__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Fusarium	0.9
a1165c6310c3e9b1ec3843f1766e2f03	d__Eukaryota; p__Basidiomycota; c__Malasseziomycetes; o__Malasseziales; f__Malasseziaceae; g__Malassezia; s__uncultured_fungus	0.8
a1d9164cb429c953695ccc82ae1aa992	d__Eukaryota; p__Zoopagomycota; c__Incertae_Sedis; o__Zoopagales; f__Piptocephalidaceae; g__Piptocephalis	1.0
a25dc64c33e04c989fa2018aa8ceb679	d__Eukaryota; p__Ascomycota; c__Sordariomycetes	1.0
a39ccd165dc4e96a97364e7fbd177d9a	d__Eukaryota; p__Chytridiomycota; c__Chytridiomycetes	1.0
a48e3170ee79926cc5a8bf0aa40842b3	d__Eukaryota; p__Blastocladiomycota; c__Blastocladiomycetes; o__Blastocladiales; f__Blastocladiaceae	1.0
a6733d82f22a0a6c0e357d69244f882d	d__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Hypocreales	0.8
a7111d5b0f666c8b524d73e1e125b6e5	d__Eukaryota; p__Blastocladiomycota; c__Blastocladiomycetes; o__Blastocladiales; f__Blastocladiaceae; g__Allomyces	0.6
a772023c3943a340d49184029d7d963f	d__Eukaryota; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Pyronemataceae	0.9
a8a04070168d7591bb5dde41a412049c	d__Eukaryota; p__Basidiomycota; c__Tremellomycetes; o__Trichosporonales; f__Trichosporonaceae; g__Trichosporon	0.6
a9e1a9d423b805891439b7b55a433caf	d__Eukaryota; p__Bicosoecida; c__Bicosoecida; o__Bicosoecida; f__Bicosoecida; g__Bicosoeca; s__uncultured_eukaryote	0.5555555555555556
ab657f069eebbddfa32f5fd2609e4b24	d__Eukaryota; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Cladosporiaceae; g__Cladosporium; s__Cladosporium_herbarum	0.7
abbcfa9df1686cefbe03fc68eb5b5ea3	d__Eukaryota; p__Mucoromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__Rhizophagus	0.8
ac6405cbdd74b3ae46fa423aefa5fc02	d__Eukaryota; p__Mucoromycota; c__Incertae_Sedis; o__Mucorales; f__Cunninghamellaceae; g__Absidia	0.8
afbd169459cef897d66c95085e0f4a15	d__Eukaryota; p__Centrohelida; c__Centrohelida; o__Centrohelida; f__Acanthocystidae	0.7
b10f5df2a1ddcead2638f9171ad7ab51	d__Eukaryota; p__Ascomycota; c__Pezizomycetes; o__Pezizales	1.0
b1c0e06904b9302e44c994bf94578630	d__Eukaryota; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Pezizaceae	1.0
b1d3595cbe83f1ec4094336801bc0d11	d__Eukaryota; p__Bicosoecida	1.0
b3c88aacfbcf501a5640ecdacefaa8a1	d__Eukaryota; p__Chytridiomycota; c__Chytridiomycetes; o__Rhizophydiales; f__Rhizophydiaceae; g__Rhizophydium; s__uncultured_Rhizophydiales	1.0
b47d759175151f1a4dbcef0fa72f998d	d__Eukaryota; p__Basidiomycota; c__Agaricomycetes; o__Auriculariales; f__Auriculariaceae; g__Auricularia; s__Auricularia_polytricha	0.6
b4892e9dc3810c897a241c6228d509ee	d__Eukaryota; p__Basidiomycota; c__Tremellomycetes; o__Tremellales	1.0
b4efae640c24903ba5c3f12d8a520d9a	d__Eukaryota; p__Basidiomycota; c__Tremellomycetes	1.0
b64a078bbce6ef455170ce82636e181e	d__Eukaryota; p__Holozoa; c__Choanoflagellida; o__Codonosigidae; f__Codonosigidae; g__Codosiga; s__Codosiga_sp.	0.8571428571428571
ba3f418ea907675815ffcf277df7ffe5	d__Eukaryota; p__Arthropoda; c__Insecta; o__Hymenoptera; f__Hymenoptera; g__Hymenoptera	1.0
ba9148ccd56b965a67bfdcfaf5c1e71f	d__Eukaryota; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Bulleribasidiaceae; g__Vishniacozyma	0.7
bdc65d27d8d83054bfc60340d731b605	d__Eukaryota; p__Nematozoa; c__Chromadorea; o__Rhabditida; f__Rhabditida; g__Rhabditida	1.0
be83bc16c393a27f5227a54014397050	d__Eukaryota; p__Chytridiomycota; c__Chytridiomycetes	0.9
bf0205ddddd4436defdaa55d963867d8	d__Eukaryota; p__Basidiomycota; c__Tremellomycetes; o__Filobasidiales; f__Filobasidiaceae; g__Naganishia	1.0
c0d805d7407912f293bfc8fd721a2046	d__Eukaryota; p__Cercozoa; c__Incertae_Sedis; o__Incertae_Sedis; f__Incertae_Sedis; g__Gymnophrys	1.0
c177b899899b511129f53bd9c8507912	d__Eukaryota; p__Ciliophora; c__Intramacronucleata; o__Spirotrichea; f__Hypotrichia; g__Hypotrichia	0.9
c1a890d56ed97f48e74ec29f2a8d8b08	d__Eukaryota; p__Mucoromycota; c__Glomeromycetes; o__Glomerales; f__uncultured; g__uncultured	0.6
c234a615ca36fc47ac8c2ed8cbbfe38a	d__Eukaryota	1.0
c2af1dd53167cc03ed95c286e7b91c8d	d__Eukaryota; p__Basidiomycota; c__Tremellomycetes; o__Trichosporonales; f__Trichosporonaceae; g__Apiotrichum	0.9
c4406f486c3860117772a22122d426e7	d__Eukaryota; p__Mucoromycota; c__Glomeromycetes; o__Glomerales; f__uncultured; g__uncultured	0.6
c5c7437cfa73d97850b7ef08d1e93e5a	d__Eukaryota; p__Amoebozoa; c__Discosea; o__Vannellida; f__Vannellida	1.0
c62dcc6c10b8cdf45f5eb979154ca3bb	d__Eukaryota; p__Ascomycota; c__Sordariomycetes	1.0
c7b7e39428ca7639c786742e2ecd298e	d__Eukaryota; p__Chytridiomycota; c__Chytridiomycetes; o__Rhizophydiales	0.6666666666666666
c9ef384e4b009a235ee858dce87d45bd	d__Eukaryota; p__Ciliophora; c__Intramacronucleata; o__Conthreep; f__Phyllopharyngea	1.0
cac74f19ac02eaf57dcf3a85d154261d	d__Eukaryota; p__Ciliophora; c__Intramacronucleata; o__Conthreep; f__Colpodea	1.0
cae0679dd117eef4a42c7ed8e9fcbfa3	d__Eukaryota; p__Ciliophora; c__Intramacronucleata; o__Conthreep; f__Colpodea	1.0
ccc5a9bc020edc671c4a868a3aa3c4b9	d__Eukaryota; p__Ochrophyta; c__Chrysophyceae	1.0
d11d30d1b45cce6ff0ab41cc148221e2	d__Eukaryota; p__Mucoromycota; c__Incertae_Sedis; o__Mucorales; f__Cunninghamellaceae; g__Cunninghamella	1.0
d153a108329bfe73f6b9be53c5741ece	d__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Hypocreales	0.6
d19f0c3af73955a7e6ad2431c9f894d1	d__Eukaryota; p__Centrohelida; c__Centrohelida; o__Centrohelida; f__Acanthocystidae; g__Pterocystis	0.6
d2ff6adcb3e86fea6c406a2139db2f57	d__Eukaryota; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporaceae	1.0
d4f38cf5f087ba8484d30d2e9309bd95	d__Eukaryota; p__Zoopagomycota; c__Incertae_Sedis; o__Zoopagales; f__Zoopagales; g__Zoopagales	0.6666666666666666
d8b66d07bc8ae285fbdfc3b1416a3bb2	d__Eukaryota; p__Chytridiomycota; c__Chytridiomycetes; o__Rhizophydiales; f__uncultured; g__uncultured	0.8
d8c84ab1e5a6ed6a423165e7efec54d1	d__Eukaryota; p__Holozoa	0.7
da2883ee90ae29822a725ff1c661b441	d__Eukaryota; p__Nematozoa; c__Chromadorea; o__Tylenchida; f__Tylenchida; g__Tylenchida	1.0
daee8896aa4345e681b195dd4f8b08ad	d__Eukaryota; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales	1.0
dbf9325107b6987add3c754451ef2982	d__Eukaryota; p__Nucleariidae_and_Fonticula_group; c__Nucleariidae_and_Fonticula_group; o__Nucleariidae_and_Fonticula_group; f__Nucleariidae; g__Nuclearia	1.0
dc56d84864abf63405c6efa81bb6aa42	d__Eukaryota; p__Mucoromycota; c__Incertae_Sedis; o__Mortierellales; f__Mortierellaceae; g__Mortierella; s__uncultured_Eimeriidae	0.6
df8e51cea1a3de41ef9a1cd5d6c65a73	d__Eukaryota; p__Chytridiomycota; c__Chytridiomycetes; o__Spizellomycetales	0.7
e0788edc576eb36020dcd6cc76ad1bcd	d__Eukaryota; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales	1.0
e19b60f37d54f34ae28930081803fc61	d__Eukaryota; p__Basidiomycota; c__Agaricomycetes; o__Cantharellales	0.6
e2923ff86109e0302fb8ca21c0981d93	d__Eukaryota; p__Basidiomycota; c__Agaricomycetes; o__Agaricales	1.0
e55dcec396dcdfc8c16baddf12c84df7	d__Eukaryota; p__Ciliophora; c__Intramacronucleata; o__Conthreep; f__Colpodea	1.0
e7744f3767bff76726fe107bf9611908	d__Eukaryota; p__Basidiomycota; c__Malasseziomycetes; o__Malasseziales; f__Malasseziaceae; g__Malassezia; s__uncultured_fungus	0.8
e77ef18362d0bf700625df18959fe020	d__Eukaryota; p__Nucleariidae_and_Fonticula_group; c__Nucleariidae_and_Fonticula_group; o__Nucleariidae_and_Fonticula_group; f__Nucleariidae; g__Nuclearia	1.0
e852346ca2b1dbd7a19ca5dd8b4d788e	d__Eukaryota; p__Mucoromycota; c__Incertae_Sedis; o__Mucorales; f__Cunninghamellaceae; g__Absidia	0.8
ebeb4c6c3621fbe88d77654938f2dce9	d__Eukaryota; p__Cercozoa; c__Cercomonadidae; o__Cercomonadidae; f__Cercomonadidae; g__Cercomonas	0.6666666666666666
edc9a95dc62ebc3e8af07324ea704c28	d__Eukaryota; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Agaricales	0.6
